BUKRS,LIFNR,AUGDT,AUGBL,ZUONR,GJAHR,BELNR,BUZEI,BUDAT,BLDAT,CPUDT,WAERS,XBLNR,BLART,MONAT,BSCHL,SHKZ,MWSKZ,DMBTR,WRBTR,ZFBDT,ZTERM,ZLSCH,,,,CHECT,XBANC,BANCD,VOIDR,VOIDD,
Company Code,Vendor,Clearing date,Clearing Document,Assignment,Fiscal Year,Document Number,Line item,Posting Date,Document Date,Entry Date,Currency,Reference,Document Type,Posting Period,Posting Key,Debit/Credit Ind.,Tax Code,Amount in LC,Amount,Baseline Payment Dte,Terms of Payment,Payment Method,Run date,Run Id,Value date,Check,Paid Check,Check encashment date,Check void reason code,Voided Check Date,Reverse clearing
1001,400663,2020-04-01,2001811629,382679,2020,5100218105,1,2020-04-01,2020-02-27,2020-04-01,USD,382679,RE,4,31,H,I1,4372.71,4372.71,2020-02-27,0010,V,2020-04-01,US02,2020-04-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400663,2020-06-18,2001840171,385056,2020,5100219719,1,2020-06-18,2020-02-27,2020-06-18,USD,385056,RE,6,31,H,I1,477.00,477.00,2020-02-27,0010,V,2020-06-18,US02,2020-06-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-02-07,2001786852,425926494001,2020,5100215760,1,2020-01-09,2020-01-08,2020-01-09,USD,425926494001,RE,1,31,H,I1,414.49,414.49,2020-01-08,0010,V,2020-02-07,US02,2020-02-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-02-24,2001793679,10000,2020,5100216071,1,2020-01-27,2020-01-25,2020-01-27,USD,10000,RE,1,31,H,I1,23.85,23.85,2020-01-25,0010,V,2020-02-24,US02,2020-02-24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-03-06,2001799714,10000,2020,5100216447,1,2020-02-11,2020-02-06,2020-02-11,USD,10000,RE,2,31,H,I1,159.88,159.88,2020-02-06,0010,V,2020-03-06,US02,2020-03-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-03-20,2001806435,445393329001,2020,5100216742,1,2020-02-20,2020-02-19,2020-02-20,USD,445393329001,RE,2,31,H,I1,138.08,138.08,2020-02-19,0010,V,2020-03-20,US02,2020-03-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-03-27,2001809668,10000,2020,5100217094,1,2020-03-03,2020-02-27,2020-03-03,USD,10000,RE,3,31,H,I1,420.99,420.99,2020-02-27,0010,V,2020-03-27,US02,2020-03-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-03-27,2001809668,10000,2020,5100217118,1,2020-03-03,2020-02-27,2020-03-03,USD,10000,RE,3,31,H,I1,138.08,138.08,2020-02-27,0010,V,2020-03-27,US02,2020-03-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1001,400668,2020-03-27,2001809668,449431898001,2020,5100217083,1,2020-03-03,2020-02-27,2020-03-03,USD,449431898001,RE,3,31,H,I1,572.92,572.92,2020-02-27,0010,V,2020-03-27,US02,2020-03-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
